Reading training examples... (131 examples) done
Training set properties: 6147 features, 4 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=68.8613, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=2, CEps=53.4872, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=3, CEps=20.5178, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=3, CEps=10.3631, QPEps=0.0000)
Iter 6: .........*(NumConst=6, SV=5, CEps=154.9091, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=6, CEps=193.7126, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=6, CEps=22.6399, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=7, CEps=20.7974, QPEps=0.0000)
Iter 10: .........*(NumConst=10, SV=7, CEps=48.2526, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=8, CEps=53.8496, QPEps=4.7975)
Iter 12: *(NumConst=12, SV=9, CEps=27.6011, QPEps=0.0000)
Iter 13: *(NumConst=13, SV=9, CEps=18.8185, QPEps=0.0000)
Iter 14: *(NumConst=14, SV=10, CEps=21.7346, QPEps=0.0000)
Iter 15: *(NumConst=15, SV=10, CEps=13.0315, QPEps=1.3791)
Iter 16: *(NumConst=16, SV=11, CEps=7.8716, QPEps=0.2656)
Iter 17: *(NumConst=17, SV=12, CEps=8.7750, QPEps=0.1493)
Iter 18: *(NumConst=18, SV=12, CEps=7.9686, QPEps=1.4895)
Iter 19: *(NumConst=19, SV=14, CEps=7.5275, QPEps=1.3188)
Iter 20: *(NumConst=20, SV=14, CEps=6.4475, QPEps=2.7868)
Iter 21: .........*(NumConst=21, SV=15, CEps=11.1468, QPEps=2.7529)
Iter 22: *(NumConst=22, SV=16, CEps=8.6251, QPEps=3.5788)
Iter 23: *(NumConst=23, SV=16, CEps=7.5319, QPEps=3.5012)
Iter 24: *(NumConst=24, SV=15, CEps=7.2495, QPEps=2.2981)
Iter 25: *(NumConst=25, SV=16, CEps=5.5140, QPEps=1.3289)
Iter 26: *(NumConst=26, SV=18, CEps=5.4152, QPEps=0.9533)
Iter 27: *(NumConst=27, SV=17, CEps=4.4712, QPEps=2.0725)
Iter 28: *(NumConst=28, SV=19, CEps=3.8551, QPEps=1.5597)
Iter 29: *(NumConst=29, SV=20, CEps=3.9295, QPEps=1.6835)
Iter 30: *(NumConst=30, SV=19, CEps=4.8930, QPEps=1.8838)
Iter 31: *(NumConst=31, SV=20, CEps=2.9214, QPEps=0.9454)
Iter 32: *(NumConst=32, SV=21, CEps=2.7735, QPEps=0.8777)
Iter 33: *(NumConst=33, SV=22, CEps=3.4294, QPEps=0.8835)
Iter 34: *(NumConst=34, SV=22, CEps=3.1716, QPEps=0.9873)
Iter 35: *(NumConst=35, SV=22, CEps=2.6462, QPEps=1.1696)
Iter 36: *(NumConst=36, SV=23, CEps=2.4747, QPEps=1.2211)
Iter 37: *(NumConst=37, SV=23, CEps=2.0163, QPEps=0.7375)
Iter 38: *(NumConst=38, SV=24, CEps=2.3412, QPEps=0.8857)
Iter 39: *(NumConst=39, SV=26, CEps=2.0694, QPEps=0.9935)
Iter 40: *(NumConst=40, SV=27, CEps=1.6247, QPEps=0.7689)
Iter 41: *(NumConst=41, SV=28, CEps=2.1852, QPEps=0.6494)
Iter 42: *(NumConst=42, SV=29, CEps=1.5332, QPEps=0.6889)
Iter 43: *(NumConst=43, SV=29, CEps=1.4094, QPEps=0.6591)
Iter 44: *(NumConst=44, SV=30, CEps=1.8800, QPEps=0.6948)
Iter 45: *(NumConst=45, SV=30, CEps=2.2676, QPEps=0.5866)
Iter 46: *(NumConst=46, SV=31, CEps=1.4728, QPEps=0.6142)
Iter 47: *(NumConst=47, SV=31, CEps=1.4035, QPEps=0.6693)
Iter 48: *(NumConst=48, SV=32, CEps=1.7778, QPEps=0.6632)
Iter 49: *(NumConst=49, SV=33, CEps=1.8082, QPEps=0.5744)
Iter 50: *(NumConst=50, SV=32, CEps=1.4033, QPEps=0.4163)
Iter 51: .........*(NumConst=51, SV=33, CEps=1.9998, QPEps=0.9332)
Iter 52: *(NumConst=52, SV=35, CEps=2.0457, QPEps=0.8288)
Iter 53: *(NumConst=53, SV=36, CEps=1.4824, QPEps=0.7073)
Iter 54: *(NumConst=53, SV=36, CEps=1.8154, QPEps=0.6997)
Iter 55: *(NumConst=54, SV=36, CEps=1.6749, QPEps=0.7153)
Iter 56: *(NumConst=55, SV=36, CEps=1.4463, QPEps=0.7021)
Iter 57: *(NumConst=55, SV=37, CEps=1.3188, QPEps=0.5752)
Iter 58: *(NumConst=56, SV=36, CEps=1.2237, QPEps=0.5612)
Iter 59: *(NumConst=57, SV=36, CEps=1.2349, QPEps=0.5472)
Iter 60: *(NumConst=58, SV=37, CEps=0.9203, QPEps=0.4396)
Iter 61: *(NumConst=58, SV=37, CEps=0.9582, QPEps=0.4518)
Iter 62: *(NumConst=58, SV=37, CEps=0.8990, QPEps=0.4268)
Iter 63: *(NumConst=59, SV=39, CEps=0.9462, QPEps=0.3787)
Iter 64: *(NumConst=60, SV=40, CEps=0.7254, QPEps=0.3401)
Iter 65: *(NumConst=61, SV=41, CEps=0.7368, QPEps=0.3617)
Iter 66: *(NumConst=61, SV=42, CEps=0.7840, QPEps=0.3553)
Iter 67: *(NumConst=62, SV=43, CEps=0.8648, QPEps=0.3356)
Iter 68: *(NumConst=63, SV=43, CEps=0.6263, QPEps=0.2793)
Iter 69: *(NumConst=63, SV=44, CEps=0.8334, QPEps=0.2255)
Iter 70: *(NumConst=64, SV=44, CEps=0.9151, QPEps=0.2920)
Iter 71: *(NumConst=65, SV=43, CEps=0.6829, QPEps=0.2414)
Iter 72: *(NumConst=65, SV=44, CEps=0.5856, QPEps=0.2475)
Iter 73: *(NumConst=65, SV=45, CEps=0.6819, QPEps=0.2275)
Iter 74: *(NumConst=66, SV=45, CEps=0.4991, QPEps=0.2452)
Iter 75: *(NumConst=67, SV=45, CEps=0.8563, QPEps=0.2145)
Iter 76: *(NumConst=67, SV=47, CEps=0.8648, QPEps=0.2429)
Iter 77: *(NumConst=68, SV=46, CEps=0.6879, QPEps=0.2322)
Iter 78: *(NumConst=69, SV=48, CEps=0.6059, QPEps=0.2416)
Iter 79: *(NumConst=69, SV=49, CEps=0.5778, QPEps=0.2421)
Iter 80: *(NumConst=70, SV=50, CEps=0.5263, QPEps=0.2493)
Iter 81: *(NumConst=71, SV=51, CEps=0.5434, QPEps=0.2454)
Iter 82: *(NumConst=72, SV=51, CEps=0.5281, QPEps=0.2487)
Iter 83: *(NumConst=72, SV=52, CEps=0.5711, QPEps=0.2394)
Iter 84: *(NumConst=72, SV=53, CEps=0.4300, QPEps=0.2108)
Iter 85: *(NumConst=73, SV=54, CEps=0.4456, QPEps=0.1914)
Iter 86: *(NumConst=73, SV=55, CEps=0.5095, QPEps=0.2089)
Iter 87: *(NumConst=74, SV=56, CEps=0.6946, QPEps=0.2087)
Iter 88: *(NumConst=75, SV=58, CEps=0.5763, QPEps=0.2117)
Iter 89: *(NumConst=76, SV=58, CEps=0.5476, QPEps=0.2072)
Iter 90: *(NumConst=77, SV=58, CEps=0.7009, QPEps=0.1916)
Iter 91: *(NumConst=78, SV=59, CEps=0.5310, QPEps=0.1986)
Iter 92: *(NumConst=78, SV=59, CEps=0.5433, QPEps=0.2103)
Iter 93: *(NumConst=79, SV=60, CEps=0.4761, QPEps=0.1553)
Iter 94: *(NumConst=80, SV=61, CEps=0.3840, QPEps=0.1886)
Iter 95: *(NumConst=81, SV=63, CEps=0.5776, QPEps=0.1899)
Iter 96: *(NumConst=81, SV=64, CEps=0.5879, QPEps=0.1878)
Iter 97: *(NumConst=82, SV=65, CEps=0.5678, QPEps=0.1806)
Iter 98: *(NumConst=83, SV=66, CEps=0.4545, QPEps=0.1477)
Iter 99: *(NumConst=82, SV=67, CEps=0.5070, QPEps=0.1878)
Iter 100: *(NumConst=83, SV=67, CEps=0.3622, QPEps=0.1792)
