Reading training examples... (131 examples) done
Training set properties: 6147 features, 4 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=27.2812, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=11.6872, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=74.7324, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=4, CEps=17.4068, QPEps=0.0000)
Iter 6: .........*(NumConst=6, SV=5, CEps=28.4511, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=6, CEps=15.5886, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=10.5548, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=9.1272, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=7.7605, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=6.0501, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=6.5640, QPEps=1.0397)
Iter 13: *(NumConst=13, SV=12, CEps=3.5530, QPEps=0.0462)
Iter 14: .........*(NumConst=14, SV=13, CEps=6.8736, QPEps=1.0964)
Iter 15: *(NumConst=15, SV=14, CEps=4.3742, QPEps=0.9006)
Iter 16: *(NumConst=16, SV=14, CEps=4.0008, QPEps=0.7087)
Iter 17: *(NumConst=17, SV=15, CEps=3.2872, QPEps=0.9296)
Iter 18: *(NumConst=18, SV=16, CEps=2.8023, QPEps=0.9630)
Iter 19: *(NumConst=19, SV=17, CEps=2.6305, QPEps=1.0592)
Iter 20: *(NumConst=20, SV=18, CEps=2.1221, QPEps=0.2350)
Iter 21: *(NumConst=21, SV=19, CEps=2.7531, QPEps=0.6622)
Iter 22: *(NumConst=22, SV=20, CEps=1.7319, QPEps=0.3626)
Iter 23: *(NumConst=23, SV=21, CEps=1.9280, QPEps=0.5391)
Iter 24: *(NumConst=24, SV=21, CEps=2.0119, QPEps=0.5827)
Iter 25: *(NumConst=25, SV=21, CEps=1.5461, QPEps=0.4603)
Iter 26: *(NumConst=26, SV=22, CEps=1.1866, QPEps=0.3156)
Iter 27: *(NumConst=27, SV=23, CEps=1.2849, QPEps=0.1989)
Iter 28: *(NumConst=28, SV=24, CEps=1.3957, QPEps=0.3002)
